"University","CostIState","CostOState"
"Bryn Athyn College",34359,34359
"Adelphi University",56616,56616
"Albany College of Pharmacy and Health Sciences",46721,46721
"Albertus Magnus College",51716,51716
"Albright College",58320,58320
"Alfred University",47836,47836
"Allegheny College",61120,61120
"DeSales University",52340,52340
"Alvernia University",49330,49330
"American International College",50870,50870
"Sacred Heart University",58440,58440
"St. Joseph's College - Long Island Campus",NA,NA
"Amherst College",71900,71900
"Saint Anselm College",56636,56636
"St. Bonaventure University",47346,47346
"Anna Maria College",53520,53520
"College of St. Elizabeth",49245,49245
"Assumption College",54594,54594
"St. Francis College",NA,NA
"Saint Francis University",51884,51884
"College of the Atlantic",54969,54969
"St. John Fisher College",47770,47770
"St. John's University",60228,60228
"University of Saint Joseph",51404,51404
"St. Joseph's College of Maine",50790,50790
"Babson College",66582,66582
"St. Joseph's College - Brooklyn Campus",NA,NA
"Saint Joseph's University",60788,60788
"Baptist Bible College and Seminary",32020,32020
"St. Lawrence University",68296,68296
"Saint Michael's College",57570,57570
"Ramapo College of New Jersey",30839,39973
"Saint Peter's University",54036,54036
"College of St. Rose",47268,47268
"St. Thomas Aquinas College",47250,47250
"Saint Vincent College",49279,49279
"Regis College",57458,57458
"Salem State University",23211,29351
"Salve Regina University",57746,57746
"Sarah Lawrence College",71256,71256
"University of Scranton",61028,61028
"Seton Hall University",59062,59062
"Rensselaer Polytechnic Institute",70132,70132
"Pace University",65596,65596
"Seton Hill University",49710,49710
"Bard College at Simon's Rock",70734,70734
"Shippensburg University of Pennsylvania",28554,36412
"Rhode Island College",22771,35284
"Siena College",54455,54455
"Simmons College",57685,57685
"Skidmore College",69450,69450
"Parsons The New School for Design",70200,70200
"Penn State University Park",36344,51572
"Slippery Rock University of Pennsylvania",24291,28037
"Smith College",69563,69563
"Penn State Erie, The Behrend College",33098,41600
"University of Massachusetts Dartmouth",29279,43993
"Southern Connecticut State University",26015,37473
"Penn State Harrisburg",34758,43260
"University of Southern Maine",19260,32070
"University of Pennsylvania",68600,68600
"Southern Vermont College",36675,36675
"Springfield College",51775,51775
"Rhode Island School of Design",67720,67720
"Stevens Institute of Technology",67784,67784
"University of Rhode Island",29307,45557
"Stockton University",30281,37234
"University of the Arts",62646,62646
"Stonehill College",59460,59460
"Cairn University",39284,39284
"University of the Sciences",60141,60141
"Suffolk University",57810,57810
"Philadelphia University",56274,56274
"University at Albany",25889,40769
"Pine Manor College",47390,47390
"Rider University",59510,59510
"Binghamton University",26100,40980
"University at Buffalo",27036,44546
"University of Pittsburgh",33250,44812
"Stony Brook University",25471,42981
"College at Brockport",24014,33864
"Rivier University",46350,46350
"University of Pittsburgh at Bradford",28111,39355
"Buffalo State College",25378,35028
"University of Pittsburgh at Johnstown",28689,39933
"State University of New York College at Cortland",24370,34020
"Robert Morris University",44596,44596
"State University of New York College of Environmental Science and Forestry",26933,36583
"State University of New York at Fredonia",23814,33464
"Plymouth State University",27300,35760
"Roberts Wesleyan College",45388,45388
"State University of New York College at Geneseo",25622,35272
"Point Park University",45590,45590
"State University of New York at New Paltz",22980,32830
"College at Old Westbury",24223,33873
"State University of New York College at Oneonta",24162,33812
"Maine College of Art",49140,49140
"State University of New York at Oswego",24131,33781
"Post University",44550,44550
"State University of New York Plattsburgh",24522,34372
"Rochester Institute of Technology",54758,54758
"Pratt Institute",65308,65308
"State University of New York College at Potsdam",23485,33135
"Princeton University",66950,66950
"Purchase College",26345,35995
"Providence College",65120,65120
"State University of New York Institute of Technology",23598,33248
"Quinnipiac University",63770,63770
"Bard College",72362,72362
"University of Rochester",70108,70108
"State University of New York Maritime College",25308,34958
"Barnard College",69912,69912
"State University of New York Upstate Medical University",NA,NA
