"University","CostIState","CostOState"
"Bryn Athyn College",21071,21071
"Adelphi University",37170,37170
"Albany College of Pharmacy and Health Sciences",33621,33621
"Albertus Magnus College",31630,31630
"Albright College",43454,43454
"Alfred University",32264,32264
"Allegheny College",45970,45970
"DeSales University",35900,35900
"Alvernia University",33640,33640
"American International College",34470,34470
"Sacred Heart University",39820,39820
"St. Joseph's College - Long Island Campus",26554,26554
"Amherst College",54310,54310
"Saint Anselm College",39990,39990
"St. Bonaventure University",33331,33331
"Anna Maria College",37130,37130
"College of St. Elizabeth",32993,32993
"Assumption College",39598,39598
"St. Francis College",26188,26188
"Saint Francis University",34956,34956
"College of the Atlantic",43542,43542
"St. John Fisher College",33120,33120
"St. John's University",40520,40520
"University of Saint Joseph",38033,38033
"St. Joseph's College of Maine",34610,34610
"Babson College",49664,49664
"St. Joseph's College - Brooklyn Campus",26544,26544
"Saint Joseph's University",43880,43880
"Baptist Bible College and Seminary",23170,23170
"St. Lawrence University",52990,52990
"Saint Michael's College",43640,43640
"Ramapo College of New Jersey",14080,23214
"Saint Peter's University",36402,36402
"College of St. Rose",31612,31612
"St. Thomas Aquinas College",30750,30750
"Saint Vincent College",34830,34830
"Regis College",39653,39653
"Salem State University",9831,15971
"Salve Regina University",38986,38986
"Sarah Lawrence College",54010,54010
"University of Scranton",43310,43310
"Seton Hall University",40888,40888
"Rensselaer Polytechnic Institute",52305,52305
"Pace University",43986,43986
"Seton Hill University",35010,35010
"Bard College at Simon's Rock",53668,53668
"Shippensburg University of Pennsylvania",12086,19944
"Rhode Island College",8776,21289
"Siena College",36335,36335
"Simmons College",39055,39055
"Skidmore College",52596,52596
"Parsons The New School for Design",47720,47720
"Penn State University Park",18436,33664
"Slippery Rock University of Pennsylvania",10205,13951
"Smith College",50044,50044
"Penn State Erie, The Behrend College",15190,23692
"University of Massachusetts Dartmouth",13571,28285
"Southern Connecticut State University",10537,21995
"Penn State Harrisburg",15190,23692
"University of Southern Maine",8840,21650
"University of Pennsylvania",53534,53534
"Southern Vermont College",25675,25675
"Springfield College",36535,36535
"Rhode Island School of Design",48470,48470
"Stevens Institute of Technology",50554,50554
"University of Rhode Island",13792,30042
"Stockton University",13404,20357
"University of the Arts",43000,43000
"Stonehill College",41300,41300
"Cairn University",26493,26493
"University of the Sciences",39994,39994
"Suffolk University",37510,37510
"Philadelphia University",39130,39130
"University at Albany",9550,24430
"Pine Manor College",31160,31160
"Rider University",41310,41310
"Binghamton University",9523,24403
"University at Buffalo",9828,27338
"University of Pittsburgh",19080,30642
"Stony Brook University",9257,26767
"College at Brockport",7948,17798
"Rivier University",30740,30740
"University of Pittsburgh at Bradford",13900,25144
"Buffalo State College",7976,17626
"University of Pittsburgh at Johnstown",13876,25120
"State University of New York College at Cortland",8300,17950
"Robert Morris University",29420,29420
"State University of New York College of Environmental Science and Forestry",8543,18193
"State University of New York at Fredonia",8286,17936
"Plymouth State University",13770,22230
"Roberts Wesleyan College",30936,30936
"State University of New York College at Geneseo",8408,18058
"Point Park University",30130,30130
"State University of New York at New Paltz",7775,17625
"College at Old Westbury",7883,17533
"State University of New York College at Oneonta",8166,17816
"Maine College of Art",34000,34000
"State University of New York at Oswego",8191,17841
"Post University",29550,29550
"State University of New York Plattsburgh",7950,17800
"Rochester Institute of Technology",40068,40068
"Pratt Institute",50038,50038
"State University of New York College at Potsdam",8220,17870
"Princeton University",47140,47140
"Purchase College",8498,18148
"Providence College",48760,48760
"State University of New York Institute of Technology",7998,17648
"Quinnipiac University",46780,46780
"Bard College",54496,54496
"University of Rochester",52020,52020
"State University of New York Maritime College",8074,17724
"Barnard College",52662,52662
"State University of New York Upstate Medical University",7344,17194
"Maine Maritime Academy",13278,26628
"University of Maine",10902,30282
"Roger Williams University",33336,33336
"Susquehanna University",45470,45470
"Bates College",52042,52042
"Arcadia University",42330,42330
"Swarthmore College",50822,50822
"Bennington College",52420,52420
"University of Maine at Farmington",9458,19026
"Syracuse University",46755,46755
"University of Maine at Fort Kent",7965,12075
"Bentley University",48000,48000
"Thomas College",26110,26110
"Berklee College of Music",42750,42750
"Bloomfield College",29300,29300
"Bloomsburg University of Pennsylvania",10500,21738
"Temple University",16658,28418
"Bowdoin College",51848,51848
"University of Maine at Machias",7676,19316
"Boricua College",11025,11025
"University of Maine at Presque Isle",7760,11870
"Thiel College",30830,30830
"Boston Architectural College",21174,21174
"Boston College",53346,53346
"Thomas Jefferson University",NA,NA
"Boston University",52082,52082
"Touro College",19870,19870
"The College of New Jersey",16149,27578
"Manhattan College",42087,42087
"Rosemont College",19480,19480
"Trinity College",54770,54770
"Manhattan School of Music",45975,45975
"Manhattanville College",37910,37910
"Tufts University",54318,54318
"University of Bridgeport",32250,32250
"Union College",53490,53490
"Bridgewater State University",10012,16152
"United States Coast Guard Academy",NA,NA
"Mansfield University of Pennsylvania",12316,21766
"Brown University",53419,53419
"United States Merchant Marine Academy",NA,NA
"United States Military Academy",NA,NA
"Marist College",36780,36780
"Unity College",28350,28350
"Marlboro College",40425,40425
"Ursinus College",50360,50360
"Utica College",20676,20676
"Marymount Manhattan College",31950,31950
"Vassar College",55210,55210
"Marywood University",33940,33940
"Bryant University",42109,42109
"Bryn Mawr College",50500,50500
"Bucknell University",53986,53986
"Cabrini University",31350,31350
"California University of Pennsylvania",10641,14387
"Massachusetts College of Art and Design",12700,34400
"University of Vermont",17740,41356
"Massachusetts College of Pharmacy and Health Sciences",32590,32590
"Villanova University",51284,51284
"Massachusetts Institute of Technology",49892,49892
"Carlow University",28596,28596
"School of Visual Arts",38000,38000
"Wagner College",45380,45380
"Washington & Jefferson College",46628,46628
"Massachusetts Maritime Academy",8381,25807
"Waynesburg University",24010,24010
"University of Massachusetts Amherst",15596,33662
"Webb Institute",48775,48775
"Wellesley College",51148,51148
"University of Massachusetts Boston",13828,32985
"Medaille College",28360,28360
"Wells College",39600,39600
"Mercy College",18713,18713
"Mercyhurst University",36320,36320
"Wentworth Institute of Technology",32954,32954
"Carnegie Mellon University",53910,53910
"Wesleyan University",52774,52774
"Merrimack College",40190,40190
"West Chester University of Pennsylvania",10064,21302
"Messiah College",34160,34160
"Castleton State College",11314,26722
"Western Connecticut State University",10418,23107
"Western New England University",35740,35740
"Middlebury College",52496,52496
"Westfield State University",9715,15795
"Millersville University of Pennsylvania",11858,21318
"Cedar Crest College",38092,38092
"Westminster College",36230,36230
"Centenary University",32580,32580
"Wheelock College",36350,36350
"Central Connecticut State University",10225,22914
"Wheaton College",50850,50850
"Widener University",44166,44166
"Chatham University",36510,36510
"Wilkes University",34896,34896
"Chestnut Hill College",35180,35180
"William Paterson University",12804,20842
"Cheyney University of Pennsylvania",9060,13930
"Clarion University of Pennsylvania",10890,14636
"Williams College",53550,53550
"Wilson College",24452,24452
"Clark University",44400,44400
"Clarkson University",47950,47950
"Colby College",53120,53120
"Worcester Polytechnic Institute",48628,48628
"Colgate University",53980,53980
"Molloy College",30290,30290
"Monmouth University",36733,36733
"Cooper Union for the Advancement of Science and Art",45100,45100
"Worcester State University",9532,15612
"Drew University",49168,49168
"Montclair State University",12455,20567
"Moore College of Art and Design",40018,40018
"Yale University",51400,51400
"Yeshiva University",42000,42000
"Gannon University",30932,30932
"York College of Pennsylvania",19430,19430
"Colby-Sawyer College",40386,40386
"Fitchburg State University",10173,16253
"Green Mountain College",37002,37002
"LIM College",26350,26350
"Moravian College",42024,42024
"Mount Holyoke College",47940,47940
"Johnson & Wales University",31158,31158
"Mount St. Mary College",29920,29920
"California State University Long Beach",6794,18674
"College of Mount St. Vincent",36640,36640
"Ohio State Universitiy at Lima",7553,26657
"Ohio State University at Mansfield",7553,26657
"Ohio State Universitity at Marion",7553,26657
"Ohio State University at Newark",7553,26657
"Clarkson College",16305,16305
"University of Puerto Rico at Rio Piedras ",2078,2078
"Paul Quinn College",8275,8275
"Wiley College",12306,12306
"Ursuline College",31210,31210
"University of Maine at Augusta",7808,17498
"University of Texas at Dallas",12528,34644
"Williams Baptist College",17320,17320
"American University of Puerto Rico",6824,6824
"Inter American University of Puerto Rico - San German Campus",6180,6180
"University of Puerto Rico at Humacao",1794,1794
"Polytechnic University of Puerto Rico",8328,8328
"Lindsey Wilson College",24246,24246
"Mount Olive College",19700,19700
"Schreiner University",26750,26750
"Heritage University",18084,18084
"Bayamon Central University",5775,5775
"College of St. Joseph",24000,24000
"Christendom College",25580,25580
"University of Phoenix",NA,NA
"Pacific Oaks College",24240,24240
"East-West University",20970,20970
"Farmingdale State College",8076,17726
"Mount Ida College",35720,35720
"Warner Pacific College",24500,24500
"Cazenovia College",33656,33656
"University of Akron",10270,18801
"Albion College",43050,43050
"Baptist Bible College",13850,13850
"Beloit College",48706,48706
"Bemidji State University",8678,8678
"Bethel College",27930,27930
"Bethel University",36210,36210
"Blackburn College",21992,21992
"Bluffton University",31672,31672
"Bowling Green State University",11057,18593
"Bradley University",32930,32930
"Briar Cliff University",29786,29786
"Buena Vista University",32854,32854
"Butler University",40175,40175
"Calumet College of St. Joseph",18620,18620
"Calvin College",33100,33100
"Capital University",34600,34600
"Cardinal Stritch University",28844,28844
"Carleton College",52782,52782
"Carroll University",31144,31144
"Carthage College",41950,41950
"Cedarville University",29156,29156
"Central College",35930,35930
"Central Methodist University",23770,23770
"Central Michigan University",12510,23670
"University of Central Missouri",7520,14150
"Central State University",6246,8096
"Chicago State University",12086,20786
"University of Chicago",54825,54825
"Cincinnati Christian University ",17240,17240
"University of Cincinnati",11000,26334
"Clarke University",31950,31950
"Cleary University",19500,19500
"Cleveland Institute of Art",40675,40675
"Cleveland Institute of Music",49106,49106
"Cleveland State University",9696,13747
"Coe College",42430,42430
"Columbia College Chicago",26370,26370
"Columbia College",21936,21936
"Columbus College of Art and Design",33960,33960
"Conception Seminary College",21326,21326
"Concordia University Chicago",31562,31562
"Concordia University Ann Arbor",28436,28436
"Concordia College",38378,38378
"Concordia University St. Paul",21750,21750
"Concordia University Wisconsin",28600,28600
"Cornell College",40880,40880
"Culver-Stockton College",26040,26040
"University of Dayton",41750,41750
"Defiance College",32250,32250
"Denison University",50440,50440
"DePaul University",38410,38410
"DePauw University",47838,47838
"University of Detroit Mercy",41158,41158
"DeVry University - Chicago",17512,17512
"DeVry University - Columbus",17512,17512
"Martin Luther College",14680,14680
"Drake University",39062,39062
"Drury University",27005,27005
"University of Dubuque",29710,29710
"Kettering University",42490,42490
"Grace College",23930,23930
"Hanover College",36520,36520
"Benedictine University",33900,33900
"Indiana Institute of Technology",26370,26370
"Indiana University Kokomo",7207,19038
"Kendall College",25278,25278
"Lake Erie College",30862,30862
"Lakeland University",27760,27760
"Lindenwood University",16960,16960
"Manchester University",31660,31660
"Marietta College",36040,36040
"McKendree University",29640,29640
"Metropolitan State University",7860,14961
"Rochester College",23520,23520
"University of Michigan",14826,47476
"Millikin University",33166,33166
"Milwaukee Institute of Art & Design",36230,36230
"Missouri Southern State University",6067,11568
"Mount Mercy University",30582,30582
"North Central College",37749,37749
"University of Northern Iowa",8699,19241
"Northwestern College",30200,30200
"University of Northwestern St. Paul",30794,30794
"Northwood University",26080,26080
"Notre Dame College",29300,29300
"Oakland City University",23700,23700
"Ohio University",11896,21360
"Ohio Wesleyan University",44690,44690
"Rockford University",30050,30050
"University of St. Francis",31470,31470
"Saint Mary's College",40800,40800
"College of St. Scholastica",36212,36212
"Saint Xavier University",33350,33350
"Columbia University",57208,57208
"Connecticut College",52850,52850
"University of Connecticut",14880,36948
"John Jay College of Criminal Justice",7070,17940
"Dartmouth College",53786,53786
"College of Staten Island (City University of New York)",7089,17959
"City College of New York",6940,17810
"Daemen College",27990,27990
"Drexel University",52002,52002
"Duquesne University",36394,36394
"Edinboro University",10282,14668
"Elmira College",41900,41900
"Elms College",34578,34578
"Framingham State University",9920,16000
"Franklin Pierce University",34995,34995
"Hamilton College",52770,52770
"Hampshire College",51608,51608
"University of Hartford",38910,38910
"Hobart and William Smith Colleges",53525,53525
"Hofstra University",43960,43960
"Holy Family University",30346,30346
"Immaculata University",27350,27350
"Grand Valley State University",11994,17064
"Indiana University - Purdue University Fort Wayne",8330,20005
"Indiana University of Pennsylvania",12146,15882
"Kutztown University of Pennsylvania",9987,13733
"La Roche College",27720,27720
"La Salle University",29500,29500
"Lebanon Valley College",42180,42180
"Le Moyne College",33905,33905
"Lesley University",27470,27470
"Lock Haven University of Pennsylvania",10576,19814
"Lycoming College",38843,38843
"New England Conservatory of Music",46930,46930
"University of New Hampshire",18067,32637
"University of New Haven",38170,38170
"College of New Rochelle",36618,36618
"New York University",50464,50464
"Massachusetts College of Liberal Arts",10310,19255
"Norwich University",38662,38662
"Iona College",37682,37682
"LIU Post",36978,36978
"Juniata College",43875,43875
"Houghton College",31540,31540
"Husson University",17561,17561
"Harvard College",48859,48859
"Grove City College",17254,17254
"Gordon College",36740,36740
"Geneva College",26070,26070
"Medgar Evers College (City University of New York)",6953,17823
"Emmanuel College",38844,38844
"Emerson College",44832,44832
"Eastern Nazarene College",31780,31780
"Fairfield University",47165,47165
"Brandeis University",53537,53537
"College of Saint Benedict",43738,43738
"Eastern Connecticut State University",10919,22377
"Northeastern University",49497,49497
"Alma College",38768,38768
"Avila University",28820,28820
"Augustana College",40908,40908
"School of the Art Institute of Chicago",47420,47420
"Anderson University",29710,29710
"Andrews University",28436,28436
"Aurora University",23520,23520
"Art Academy of Cincinnati",31290,31290
"Alabama State University",11068,19396
"Alabama A&M University",9698,17918
"University of Alabama at Birmingham",10410,23790
"University of Alabama in Huntsville",10280,21480
"University of Alabama",10780,28100
"Albany State University",6726,19802
"Alice Lloyd College",11550,11550
"Alcorn State University",6938,6938
"Alderson-Broaddus College",26610,26610
"Lyon College",27340,27340
"American University",46615,46615
"Appalachian State University",7303,22110
"Arkansas State University",8478,14778
"Arkansas Tech University",8880,15660
"University of Arkansas",9062,24308
"University of Arkansas at Little Rock",8936,21191
"University of Arkansas at Monticello",7462,13312
"University of Arkansas at Pine Bluff",7212,13464
"Armstrong State University",6430,19506
"Asbury University",29500,29500
"Barton College",29998,29998
"Baptist College of Florida",11100,11100
"Auburn University",10968,29640
"Auburn University at Montgomery",9910,21310
"Austin Peay State University",8225,24221
"Averett University",33350,33350
"University of Baltimore",8824,20704
"Charleston Southern University",24800,24800
"Barry University",29700,29700
"Belhaven University",24250,24250
"Bellarmine University",40350,40350
"Belmont Abbey College",18500,18500
"Belmont University",32820,32820
"Benedict College",19958,19958
"Bennett College",18513,18513
"Berea College",25760,25760
"Berry College",35176,35176
"Bethany College",28454,28454
"Bethel University",16552,16552
"Bethune-Cookman University",14410,14410
"Birmingham-Southern College",35791,35791
"Blue Mountain College",11760,11760
"Bluefield College",24800,24800
"Bluefield State College",6728,13032
"Lynn University",37510,37510
"Bowie State University",8064,18653
"Brenau University",28510,28510
"Brescia University",21850,21850
"Bryan College",25600,25600
"New York School of Interior Design",29250,29250
"University of New Hampshire at Manchester",14850,29420
"Southeastern Baptist Theological Seminary",10500,10500
"Mt. Sierra College",15688,15688
"Culinary Institute of America",31616,31616
"Paier College of Art",17070,17070
"Schiller International University",NA,NA
"Brevard College",28850,28850
"Florida College",17142,17142
"South University - Savannah",NA,NA
"Charles R. Drew University of Medicine and Science",17440,17440
"Florida Gulf Coast University",6171,25214
"Fairleigh Dickinson University - College at Florham",41780,41780
"Coleman University",20725,20725
"University of Advancing Technology",23150,23150
"University of the Potomac",NA,NA
"Platt College",NA,NA
"Art Institute of California - San Diego",NA,NA
"Laguna College of Art + Design",29800,29800
"Columbia College Hollywood",21789,21789
"Art Institute of California - San Francisco",NA,NA
"NewSchool of Architecture & Design",26463,26463
"Pacific States University",16005,16005
"Rocky Mountain College of Art & Design",15870,15870
"Hodges University",17300,17300
"Trinity College of Florida",16640,16640
"Illinois Institute of Art - Chicago",NA,NA
"St. John's College",22005,22005
"Waldorf College",21674,21674
"Cambridge College",14940,14940
"Newbury College",34470,34470
"Finlandia University",22758,22758
"Thomas More College of Liberal Arts",21000,21000
"St. Gregory's University",22050,22050
"Utah Valley University",5652,16066
"Vermont Technical College",14690,27002
"Northwest College of Art and Design",19075,19075
"Northwestern Polytechnic University",10700,10700
"DeVry University - New York",17512,17512
"Sterling College",38038,38038
"Penn State Abington",14516,22558
