"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State","Region","Starting Median Salary","Mid-Career Median Salary","Mid-Career 10th Percentile Salary","Mid-Career 25th Percentile Salary","Mid-Career 75th Percentile Salary","Mid-Career 90th Percentile Salary"
"bryn athyn college",21071,21071,"private",295,"minimally difficult",0.42,"439","bryn athyn","PA",NA,NA,NA,NA,NA,NA,NA
"adelphi university",37170,37170,"private",5205,"moderately difficult",0.7,"11863","garden city","NY","Northeastern",40600,79200,44200,54800,114000,160000
"albany college of pharmacy & health sciences",33621,33621,"private",1078,"moderately difficult",0.67,"1583","albany","NY",NA,NA,NA,NA,NA,NA,NA
"albertus magnus college",31630,31630,"private",1220,"moderately difficult",0.67,"780","new haven","CT",NA,NA,NA,NA,NA,NA,NA
"albright college",43454,43454,"private",2304,"moderately difficult",0.51,"8832","reading","PA",NA,NA,NA,NA,NA,NA,NA
"alfred university",32264,32264,"private",1815,"moderately difficult",0.63,"3897","alfred","NY",NA,NA,NA,NA,NA,NA,NA
"allegheny college",45970,45970,"private",1920,"very difficult",0.68,"4724","meadville","PA",NA,NA,NA,NA,NA,NA,NA
"desales university",35900,35900,"private",2388,"moderately difficult",0.76,"2861","center valley","PA",NA,NA,NA,NA,NA,NA,NA
"alvernia university",33640,33640,"private",2323,"moderately difficult",0.74,"1788","reading","PA",NA,NA,NA,NA,NA,NA,NA
"american international college",34470,34470,"private",1424,"minimally difficult",0.69,"1906","springfield","MA",NA,NA,NA,NA,NA,NA,NA
"sacred heart university",39820,39820,"private",5428,"moderately difficult",0.57,"10017","fairfield","CT","Northeastern",46000,75300,39700,54800,105000,150000
"st. joseph's college long island campus",26554,26554,"private",3075,"moderately difficult",0.72,"1770","patchogue","NY",NA,NA,NA,NA,NA,NA,NA
"amherst college",54310,54310,"private",1849,"most difficult",0.14,"8406","amherst","MA","Northeastern",54500,107000,NA,84900,162000,NA
"saint anselm college",39990,39990,"private",1930,"moderately difficult",0.76,"3826","manchester","NH",NA,NA,NA,NA,NA,NA,NA
"st. bonaventure university",33331,33331,"private",1660,"moderately difficult",0.66,"2871","st bonaventure","NY",NA,NA,NA,NA,NA,NA,NA
"anna maria college",37130,37130,"private",1128,"minimally difficult",0.8,"1785","paxton","MA",NA,NA,NA,NA,NA,NA,NA
"college of st. elizabeth",32993,32993,"private",763,"moderately difficult",0.66,"1626","morristown","NJ",NA,NA,NA,NA,NA,NA,NA
"assumption college",39598,39598,"private",1989,"moderately difficult",0.78,"4559","worcester","MA",NA,NA,NA,NA,NA,NA,NA
"st. francis college",26188,26188,"private",2598,NA,NA,NA,"brooklyn heights","NY",NA,NA,NA,NA,NA,NA,NA
"saint francis university",34956,34956,"private",1707,"moderately difficult",0.74,"1932","loretto","PA",NA,NA,NA,NA,NA,NA,NA
"college of the atlantic",43542,43542,"private",338,"very difficult",0.65,"485","bar harbor","ME",NA,NA,NA,NA,NA,NA,NA
"st. john fisher college",33120,33120,"private",2786,"moderately difficult",0.65,"4551","rochester","NY",NA,NA,NA,NA,NA,NA,NA
"st. john's university",40520,40520,"private",16440,"moderately difficult",0.63,"28590","queens","NY","Northeastern",48000,93400,48000,65400,124000,181000
"university of saint joseph",38033,38033,"private",894,"moderately difficult",0.87,"743","west hartford","CT",NA,NA,NA,NA,NA,NA,NA
"st. joseph's college of maine",34610,34610,"private",2384,"moderately difficult",0.88,"1321","standish","ME",NA,NA,NA,NA,NA,NA,NA
"babson college",49664,49664,"private",2141,"very difficult",0.26,"7516","babson park","MA",NA,NA,NA,NA,NA,NA,NA
"st. joseph's college brooklyn campus",26544,26544,"private",965,"moderately difficult",0.62,"1903","brooklyn","NY",NA,NA,NA,NA,NA,NA,NA
"saint joseph's university",43880,43880,"private",5377,"moderately difficult",0.78,"8914","philadelphia","PA",NA,NA,NA,NA,NA,NA,NA
"baptist bible college & seminary",23170,23170,"private",722,"minimally difficult",0.38,"424","south abington township","PA",NA,NA,NA,NA,NA,NA,NA
"st. lawrence university",52990,52990,"private",2435,"moderately difficult",0.46,"5876","canton","NY",NA,NA,NA,NA,NA,NA,NA
"saint michael's college",43640,43640,"private",1902,"moderately difficult",0.77,"5013","colchester","VT",NA,NA,NA,NA,NA,NA,NA
"ramapo college of new jersey",14080,23214,"public",5762,"moderately difficult",0.53,"7172","mahwah","NJ",NA,NA,NA,NA,NA,NA,NA
"saint peter's university",36402,36402,"private",2672,"moderately difficult",0.74,"4611","jersey city","NJ",NA,NA,NA,NA,NA,NA,NA
"college of st. rose",31612,31612,"private",2602,"moderately difficult",0.84,"6780","albany","NY",NA,NA,NA,NA,NA,NA,NA
"st. thomas aquinas college",30750,30750,"private",1721,"moderately difficult",0.79,"1953","sparkill","NY",NA,NA,NA,NA,NA,NA,NA
"saint vincent college",34830,34830,"private",1646,"moderately difficult",0.66,"2256","latrobe","PA",NA,NA,NA,NA,NA,NA,NA
"regis college",39653,39653,"private",1235,"moderately difficult",0.84,"2023","weston","MA",NA,NA,NA,NA,NA,NA,NA
"salem state university",9831,15971,"public",7664,"minimally difficult",0.72,"5216","salem","MA",NA,NA,NA,NA,NA,NA,NA
"salve regina university",38986,38986,"private",2124,"moderately difficult",0.68,"5158","newport","RI",NA,NA,NA,NA,NA,NA,NA
"sarah lawrence college",54010,54010,"private",1438,"very difficult",0.5,"3183","bronxville","NY",NA,NA,NA,NA,NA,NA,NA
"university of scranton",43310,43310,"private",3867,"moderately difficult",0.75,"10114","scranton","PA",NA,NA,NA,NA,NA,NA,NA
"seton hall university",40888,40888,"private",5839,"moderately difficult",0.79,"10730","south orange","NJ","Northeastern",48900,89200,55700,70600,133000,195000
"rensselaer polytechnic institute",52305,52305,"private",6265,"very difficult",0.44,"18524","troy","NY","Northeastern",61100,110000,71600,85500,140000,182000
"pace university",43986,43986,"private",6284,"moderately difficult",0.87,"14545","new york","NY","Northeastern",53200,89700,44200,65400,129000,187000
"seton hill university",35010,35010,"private",1606,"moderately difficult",0.73,"2206","greensburg","PA",NA,NA,NA,NA,NA,NA,NA
"bard college simon's rock",53668,53668,"private",329,"moderately difficult",0.89,"199","great barrington","MA",NA,NA,NA,NA,NA,NA,NA
"shippensburg university of pennsylvania",12086,19944,"public",5912,NA,0.88,"5799","shippensburg","PA",NA,NA,NA,NA,NA,NA,NA
"rhode island college",8776,21289,"public",7398,"moderately difficult",0.75,"5148","providence","RI",NA,NA,NA,NA,NA,NA,NA
"siena college",36335,36335,"private",3186,"moderately difficult",0.73,"8037","loudonville","NY","Northeastern",45500,85200,38700,58400,129000,189000
"simmons college",39055,39055,"private",1802,"moderately difficult",0.64,"3362","boston","MA",NA,NA,NA,NA,NA,NA,NA
"skidmore college",52596,52596,"private",2680,"very difficult",0.29,"9181","saratoga springs","NY","Northeastern",41600,74600,NA,42800,147000,NA
"parsons the new school for design",47720,47720,"private",4301,NA,NA,NA,"new york","NY",NA,NA,NA,NA,NA,NA,NA
"pennsylvania state university",18436,33664,"public",41359,"very difficult",0.56,"52974","university park","PA","Northeastern",49900,85700,46300,62000,117000,160000
"slippery rock university of pennsylvania",10205,13951,"public",7664,"moderately difficult",0.69,"5889","slippery rock","PA",NA,NA,NA,NA,NA,NA,NA
"smith college",50044,50044,"private",2514,"very difficult",0.37,"5254","northampton","MA","Northeastern",44000,83900,45100,59800,129000,184000
"penn state erie the behrend college",15190,23692,"public",4420,"very difficult",0.88,"3853","erie","PA",NA,NA,NA,NA,NA,NA,NA
"university of massachusetts dartmouth",13571,28285,"public",6999,"moderately difficult",0.76,"8211","north dartmouth","MA","Northeastern",43200,77700,43300,56200,107000,132000
"southern connecticut state university",10537,21995,"public",7963,"moderately difficult",0.64,"8625","new haven","CT",NA,NA,NA,NA,NA,NA,NA
"penn state harrisburg",15190,23692,"public",4200,"very difficult",0.85,"4153","middletown","PA","Northeastern",45700,74000,44000,53100,104000,150000
"university of southern maine",8840,21650,"public",6189,"moderately difficult",0.8,"4111","portland","ME","Northeastern",39400,63600,40400,47900,85700,117000
"university of pennsylvania",53534,53534,"private",10019,"most difficult",0.09,"38918","philadelphia","PA","Northeastern",60900,120000,55900,79200,192000,282000
"southern vermont college",25675,25675,"private",475,"noncompetitive",0.63,"499","bennington","VT",NA,NA,NA,NA,NA,NA,NA
"springfield college",36535,36535,"private",2160,"moderately difficult",0.64,"4112","springfield","MA",NA,NA,NA,NA,NA,NA,NA
"rhode island school of design",48470,48470,"private",2000,NA,NA,NA,"providence","RI",NA,NA,NA,NA,NA,NA,NA
"stevens institute of technology",50554,50554,"private",3115,"very difficult",0.39,"7409","hoboken","NJ","Northeastern",60600,105000,68700,81900,138000,185000
"university of rhode island",13792,30042,"public",14801,"moderately difficult",0.71,"21797","kingston","RI","Northeastern",43900,85300,45400,60100,112000,157000
"stockton university",13404,20357,"public",7854,"very difficult",0.77,"4826","galloway","NJ",NA,NA,NA,NA,NA,NA,NA
"university of the arts",43000,43000,"private",1723,"moderately difficult",0.77,"1616","philadelphia","PA",NA,NA,NA,NA,NA,NA,NA
"stonehill college",41300,41300,"private",2481,"very difficult",0.73,"6362","easton","MA",NA,NA,NA,NA,NA,NA,NA
"cairn university",26493,26493,"private",744,"moderately difficult",0.98,"338","langhorne","PA",NA,NA,NA,NA,NA,NA,NA
"university of the sciences",39994,39994,"private",2246,"moderately difficult",0.58,"3738","philadelphia","PA",NA,NA,NA,NA,NA,NA,NA
"suffolk university",37510,37510,"private",5290,"moderately difficult",0.84,"8624","boston","MA","Northeastern",42100,74000,48700,57800,95100,145000
"philadelphia university",39130,39130,"private",2906,"moderately difficult",0.64,"4129","philadelphia","PA","Northeastern",45100,80300,45800,61900,108000,141000
"university albany",9550,24430,"public",12908,"very difficult",0.56,"22337","albany","NY","Northeastern",44500,92200,47000,63100,135000,209000
"pine manor college",31160,31160,"private",447,"moderately difficult",0.69,"784","chestnut hill","MA",NA,NA,NA,NA,NA,NA,NA
"rider university",41310,41310,"private",4128,"moderately difficult",0.69,"9851","lawrenceville","NJ","Northeastern",43600,88900,47100,63100,127000,150000
"binghamton university",9523,24403,"public",13632,"very difficult",0.41,"32139","binghamton","NY","Northeastern",53600,95900,50900,71200,146000,201000
"university buffalo",9828,27338,"public",20411,"moderately difficult",0.59,"26001","buffalo","NY","Northeastern",46200,81700,45900,61400,110000,147000
"university of pittsburgh",19080,30642,"public",19123,"very difficult",0.55,"29175","pittsburgh","PA",NA,NA,NA,NA,NA,NA,NA
"stony brook university",9257,26767,"public",17026,"very difficult",0.41,"34999","stony brook","NY","Northeastern",49500,93000,47200,67100,129000,181000
"college brockport",7948,17798,"public",7128,"moderately difficult",0.55,"9211","brockport","NY",NA,NA,NA,NA,NA,NA,NA
"rivier university",30740,30740,"private",1526,"moderately difficult",0.1,"1688","nashua","NH",NA,NA,NA,NA,NA,NA,NA
"university of pittsburgh bradford",13900,25144,"public",1476,"minimally difficult",0.53,"2955","bradford","PA",NA,NA,NA,NA,NA,NA,NA
"buffalo state college",7976,17626,"public",8482,"moderately difficult",0.64,"13726","buffalo","NY",NA,NA,NA,NA,NA,NA,NA
"university of pittsburgh johnstown",13876,25120,"public",2769,"moderately difficult",0.88,"1613","johnstown","PA",NA,NA,NA,NA,NA,NA,NA
"state university of new york cortland",8300,17950,"public",6304,"moderately difficult",0.52,"10875","cortland","NY",NA,NA,NA,NA,NA,NA,NA
"robert morris university",29420,29420,"private",4384,"minimally difficult",0.8,"7164","moon township","PA","Midwestern",38500,68200,37300,47100,95000,128000
"robert morris university",29420,29420,"private",2352,"minimally difficult",0.23,"2732","chicago","IL","Midwestern",38500,68200,37300,47100,95000,128000
"state university of new york of environmental science & forestry",8543,18193,"public",2271,"very difficult",0.54,"1651","syracuse","NY",NA,NA,NA,NA,NA,NA,NA
"state university of new york fredonia",8286,17936,"public",4386,"moderately difficult",0.62,"5381","fredonia","NY","Northeastern",37800,66200,32800,44200,93300,181000
"plymouth state university",13770,22230,"public",4125,"moderately difficult",0.79,"6864","plymouth","NH",NA,NA,NA,NA,NA,NA,NA
"roberts wesleyan college",30936,30936,"private",1316,"moderately difficult",0.65,"1270","rochester","NY",NA,NA,NA,NA,NA,NA,NA
"state university of new york geneseo",8408,18058,"public",5431,"moderately difficult",0.67,"8892","geneseo","NY","Northeastern",42300,81300,39300,47600,117000,173000
"point park university",30130,30130,"private",3276,"moderately difficult",0.71,"4073","pittsburgh","PA",NA,NA,NA,NA,NA,NA,NA
"state university of new york new paltz",7775,17625,"public",6717,"very difficult",0.43,"14042","new paltz","NY",NA,NA,NA,NA,NA,NA,NA
"college old westbury",7883,17533,"public",4242,"moderately difficult",0.69,"3545","old westbury","NY",NA,NA,NA,NA,NA,NA,NA
"state university of new york oneonta",8166,17816,"public",5852,"very difficult",0.43,"12338","oneonta","NY","Northeastern",37500,76700,40000,54300,97700,155000
"maine college of art",34000,34000,"private",369,NA,NA,NA,"portland","ME",NA,NA,NA,NA,NA,NA,NA
"state university of new york oswego",8191,17841,"public",7150,"moderately difficult",0.54,"10715","oswego","NY","Northeastern",38000,77800,40400,53000,115000,169000
"post university",29550,29550,"private for profit",828,"moderately difficult",0.47,"1244","waterbury","CT",NA,NA,NA,NA,NA,NA,NA
"state university of new york plattsburgh",7950,17800,"public",5215,"moderately difficult",0.51,"9404","plattsburgh","NY","Northeastern",40800,76200,38400,54100,105000,136000
"rochester institute of technology",40068,40068,"private",13384,"moderately difficult",0.55,"19824","rochester","NY","Northeastern",48900,84600,45000,62100,112000,159000
