University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
california state university fresno,6583,18463,public,21528,minimally difficult,0.54,18731,fresno,CA,California,NA
california state university los angeles,6632,18512,public,20668,moderately difficult,0.61,31011,los angeles,CA,California,NA
california state university channel islands,6802,18682,public,3342,noncompetitive,0.53,5562,camarillo,CA,California,NA
california state university san bernardino,6871,18751,public,18453,moderately difficult,0.58,15740,san bernardino,CA,California,NA
california state university monterey bay,7048,18928,public,6923,moderately difficult,0.35,16258,seaside,CA,California,NA
california maritime academy,7060,18940,public,1107,moderately difficult,0.68,1217,vallejo,CA,California,NA
california state polytechnic university pomona,7297,19177,public,23733,moderately difficult,0.59,32920,pomona,CA,California,NA
lincoln university,7632,14172,private,252,minimally difficult,0.81,276,oakland,CA,California,NA
california state university san marcos,7648,19528,public,12562,moderately difficult,0.73,12872,san marcos,CA,California,NA
sonoma state university,7724,19604,public,8606,moderately difficult,0.76,16487,rohnert park,CA,California,NA
bethesda university of california,8050,8050,private,232,minimally difficult,0.95,19,anaheim,CA,California,NA
lincoln university,10800,10800,private,252,minimally difficult,0.81,276,oakland,CA,California,NA
lincoln university,11379,16389,private,252,minimally difficult,0.81,276,oakland,CA,California,NA
southern california seminary,12250,12250,private,60,moderately difficult,0.45,20,el cajon,CA,California,NA
shasta bible college,13040,13040,private,44,noncompetitive,0.83,18,redding,CA,California,NA
university of california merced,13598,41612,public,6237,moderately difficult,0.61,18862,merced,CA,California,NA
yeshiva ohr elchonon chabad/west coast talmudical seminary,14300,14300,private,135,moderately difficult,1,68,los angeles,CA,California,NA
life pacific college,14884,14884,private,514,minimally difficult,1,75,san dimas,CA,California,NA
charles r. drew university of medicine & science,17440,17440,private,230,moderately difficult,0.21,872,los angeles,CA,California,NA
cogswell polytechnical college,19648,19648,private for profit,656,moderately difficult,0.83,281,san jose,CA,California,NA
coleman university,20725,20725,private,477,moderately difficult,1,12,san diego,CA,California,NA
columbia college hollywood,21789,21789,private,359,minimally difficult,0.57,196,tarzana,CA,California,NA
newschool of architecture & design,26463,26463,private for profit,408,moderately difficult,0.79,39,san diego,CA,California,NA
academy of art university,26490,26490,private for profit,8303,noncompetitive,1,2761,san francisco,CA,California,NA
simpson university,27700,27700,private,790,moderately difficult,0.52,627,redding,CA,California,NA
pacific union college,29469,29469,private,1550,moderately difficult,0.45,2041,angwin,CA,California,NA
laguna college of art + design,29800,29800,private,567,very difficult,0.39,472,laguna beach,CA,California,NA
william jessup university,29950,29950,private,1097,moderately difficult,0.76,522,rocklin,CA,California,NA
soka university of america,30106,30106,private,419,most difficult,0.38,500,aliso viejo,CA,California,NA
san diego christian college,30438,30438,private,880,minimally difficult,0.52,433,santee,CA,California,NA
fresno pacific university,30458,30458,private,2439,moderately difficult,0.68,644,fresno,CA,California,NA
american jewish university,30938,30938,private,112,minimally difficult,0.61,41,bel air,CA,California,NA
hope international university,31800,31800,private,853,moderately difficult,0.32,1006,fullerton,CA,California,NA
la sierra university,32130,32130,private,2103,minimally difficult,0.45,4328,riverside,CA,California,NA
vanguard university of southern california,32430,32430,private,1881,moderately difficult,0.58,1352,costa mesa,CA,California,NA
california baptist university,32566,32566,private,6937,moderately difficult,0.64,4971,riverside,CA,California,NA
master's college,33020,33020,private,1390,moderately difficult,0.83,446,santa clarita,CA,California,NA
concordia university irvine,34100,34100,private,1925,moderately difficult,0.65,3839,irvine,CA,California,NA
notre dame de namur university,34486,34486,private,1213,moderately difficult,0.87,1922,belmont,CA,California,NA
point loma nazarene university,34600,34600,private,3053,moderately difficult,0.69,3162,san diego,CA,California,NA
azusa pacific university,37506,37506,private,5770,moderately difficult,0.84,6605,azusa,CA,California,NA
holy names university,38188,38188,private,526,moderately difficult,0.49,972,oakland,CA,California,NA
biola university,38448,38448,private,4091,moderately difficult,0.69,3941,la mirada,CA,California,NA
woodbury university,38460,38460,private,1135,moderately difficult,0.66,1487,burbank,CA,California,NA
menlo college,41350,41350,private,777,moderately difficult,0.41,2195,atherton,CA,California,NA
california lutheran university,41363,41363,private,2892,moderately difficult,0.64,6013,thousand oaks,CA,California,NA
university of la verne,41450,41450,private,2809,moderately difficult,0.48,8072,la verne,CA,California,NA
art center college of design,42008,42008,private,1915,very difficult,0.8,610,pasadena,CA,California,NA
otis college of art & design,43270,43270,private,1032,moderately difficult,0.46,1584,los angeles,CA,California,NA
southern california institute of architecture,43800,43800,private,255,moderately difficult,0.73,214,los angeles,CA,California,NA
westmont college,44044,44044,private,1298,moderately difficult,0.83,2001,santa barbara,CA,California,NA
dominican university of california,44690,44690,private,1391,moderately difficult,0.78,2049,san rafael,CA,California,NA
san francisco art institute,44778,44778,private,338,moderately difficult,0.38,492,san francisco,CA,California,NA
saint mary's college of california,45686,45686,private,2802,moderately difficult,0.8,4711,moraga,CA,California,NA
mills college,46236,46236,private,819,moderately difficult,0.84,1052,oakland,CA,California,NA
university of san francisco,46250,46250,private,6745,moderately difficult,0.71,15441,san francisco,CA,California,NA
whittier college,46310,46310,private,1615,moderately difficult,0.69,5146,whittier,CA,California,NA
university of the pacific,46346,46346,private,3483,moderately difficult,0.66,8870,stockton,CA,California,NA
california institute of the arts,47446,47446,private,949,very difficult,0.25,2145,valencia,CA,California,NA
university of san diego,47708,47708,private,5711,very difficult,0.51,14413,san diego,CA,California,NA
university of redlands,48072,48072,private,3493,moderately difficult,0.68,4790,redlands,CA,California,NA
santa clara university,49858,49858,private,5438,very difficult,0.48,15834,santa clara,CA,California,NA
chapman university,50594,50594,private,6410,very difficult,0.54,12821,orange,CA,California,NA
pepperdine university,51992,51992,private,3542,very difficult,0.37,11111,malibu,CA,California,NA
pitzer college,52236,52236,private,1089,very difficult,0.14,4142,claremont,CA,California,NA
claremont mckenna college,52825,52825,private,1347,most difficult,0.09,6342,claremont,CA,California,NA
scripps college,52966,52966,private,1039,very difficult,0.3,3032,claremont,CA,California,NA
ohio university southern,4872,6718,public,1699,noncompetitive,1,350,ironton,OH,Midwestern,NA
ohio university zanesville,5002,9538,public,1968,noncompetitive,0.92,552,zanesville,OH,Midwestern,NA
missouri southern state university,6067,11568,public,5732,moderately difficult,0.94,2333,joplin,MO,Midwestern,NA
central state university,6246,8096,public,1729,minimally difficult,0.42,7669,wilberforce,OH,Midwestern,NA
emporia state university,6345,19918,public,3702,noncompetitive,0.87,1702,emporia,KS,Midwestern,NA
mayville state university,6456,9084,public,1056,noncompetitive,0.57,413,mayville,ND,Midwestern,NA
dickinson state university,6554,9226,public,1381,minimally difficult,0.92,362,dickinson,ND,Midwestern,NA
missouri western state university,6652,13080,public,5120,noncompetitive,0.75,3669,st joseph,MO,Midwestern,NA
minot state university,6810,6810,public,3136,moderately difficult,0.6,846,minot,ND,Midwestern,NA
wayne state college,6824,11984,public,2837,noncompetitive,1,1764,wayne,NE,Midwestern,NA
york college,6957,17827,private,430,moderately difficult,0.6,485,york,NE,Midwestern,NA
southeast missouri state university,7185,12720,public,10693,moderately difficult,0.83,5184,cape girardeau,MO,Midwestern,NA
indiana university east,7207,19038,public,4287,moderately difficult,0.6,1226,richmond,IN,Midwestern,NA
indiana university kokomo,7207,19038,public,3977,minimally difficult,0.69,1513,kokomo,IN,Midwestern,NA
indiana university northwest,7207,19038,public,5244,minimally difficult,0.76,1723,gary,IN,Midwestern,NA
indiana university south bend,7207,19038,public,6653,moderately difficult,0.77,2451,south bend,IN,Midwestern,NA
indiana university southeast,7207,19038,public,5486,minimally difficult,0.84,2177,new albany,IN,Midwestern,NA
peru state college,7226,7256,public,2094,noncompetitive,0.49,869,peru,NE,Midwestern,NA
university of nebraska kearney,7326,14106,public,5056,moderately difficult,0.85,2815,kearney,NE,Midwestern,NA
valley city state university,7406,16579,public,1295,noncompetitive,0.98,372,valley city,ND,Midwestern,NA
shawnee state university,7460,13268,public,3603,noncompetitive,0.74,3614,portsmouth,OH,Midwestern,NA
university of central missouri,7520,14150,public,9786,moderately difficult,0.98,3941,warrensburg,MO,Midwestern,NA
ohio state universitiy lima,7553,26657,public,999,noncompetitive,0.99,1078,lima,OH,Midwestern,NA
ohio state university mansfield,7553,26657,public,1189,noncompetitive,0.99,1607,mansfield,OH,Midwestern,NA
ohio state universitity marion,7553,26657,public,1083,noncompetitive,0.99,873,marion,OH,Midwestern,NA
ohio state university newark,7553,26657,public,2448,noncompetitive,0.99,2831,newark,OH,Midwestern,NA
purdue university northwest,7581,17129,public,14385,moderately difficult,0.44,3882,hammond,IN,Midwestern,NA
lincoln university,7632,14172,public,2618,noncompetitive,0.52,5077,jefferson city,MO,Midwestern,NA
truman state university,7656,14440,public,6039,moderately difficult,0.68,5178,kirksville,MO,Midwestern,NA
university of wisconsin river falls,7850,15425,public,5507,moderately difficult,0.9,2467,river falls,WI,Midwestern,NA
metropolitan state university,7860,14961,public,7593,minimally difficult,1,376,st paul,MN,Midwestern,NA
university of southern indiana,7900,18556,public,7956,moderately difficult,0.92,4552,evansville,IN,Midwestern,NA
wichita state university,8094,17052,public,11823,noncompetitive,0.96,6306,wichita,KS,Midwestern,NA
university of wisconsin superior,8109,15682,public,2365,minimally difficult,0.69,1148,superior,WI,Midwestern,NA
northern state university,8280,11209,public,3075,minimally difficult,0.89,959,aberdeen,SD,Midwestern,NA
indiana university purdue university fort wayne,8330,20005,public,12674,minimally difficult,0.91,3386,fort wayne,IN,Midwestern,NA
youngstown state university,8397,14397,public,11391,minimally difficult,0.67,9010,youngstown,OH,Midwestern,NA
minnesota state university moorhead,8467,15876,public,5205,moderately difficult,0.6,4261,moorhead,MN,Midwestern,NA
washburn university,8540,19190,public,5793,noncompetitive,0.99,1458,topeka,KS,Midwestern,NA
bemidji state university,8678,8678,public,4795,moderately difficult,0.64,4137,bemidji,MN,Midwestern,NA
university of northern iowa,8699,19241,public,10104,moderately difficult,0.82,5287,cedar falls,IA,Midwestern,NA
wright state university,8730,17608,public,12504,minimally difficult,0.95,5897,dayton,OH,Midwestern,NA
university of south dakota,8772,12020,public,7500,moderately difficult,0.88,3607,vermillion,SD,Midwestern,NA
indiana state university,8916,19452,public,11202,moderately difficult,0.86,11101,terre haute,IN,Midwestern,NA
dakota state university,9147,12077,public,2844,minimally difficult,0.81,911,madison,SD,Midwestern,NA
indiana university purdue university indianapolis,9334,29806,public,21748,moderately difficult,0.74,13301,indianapolis,IN,Midwestern,NA
winona state university,9381,15302,public,7656,moderately difficult,0.6,7476,winona,MN,Midwestern,NA
northwest missouri state university,9572,16136,public,5628,moderately difficult,0.74,5382,maryville,MO,Midwestern,NA
saginaw valley state university,9819,23063,public,8397,moderately difficult,0.76,6700,university center,MI,Midwestern,NA
northern michigan university,10490,15986,public,8001,minimally difficult,0.72,6848,marquette,MI,Midwestern,NA
governors state university,10516,18676,public,3517,moderately difficult,0.42,1176,university park,IL,Midwestern,NA
lincoln university,10800,10800,public,2618,noncompetitive,0.52,5077,jefferson city,MO,Midwestern,NA
university of cincinnati,11000,26334,public,25860,moderately difficult,0.76,19370,cincinnati,OH,Midwestern,NA
st. louis christian college,11025,11025,private,113,minimally difficult,0.27,51,florissant,MO,Midwestern,NA
baker college of flint,11250,11250,private,24099,minimally difficult,1,8662,flint,MI,Midwestern,NA
western illinois university,11267,15538,public,8543,moderately difficult,0.59,10191,macomb,IL,Midwestern,NA
university of michigan flint,11334,21654,public,6585,moderately difficult,0.65,4033,flint,MI,Midwestern,NA
lincoln university,11379,16389,public,2618,noncompetitive,0.52,5077,jefferson city,MO,Midwestern,NA
southern illinois university edwardsville,11491,25118,public,11720,moderately difficult,0.89,7274,edwardsville,IL,Midwestern,NA
lake superior state university,11600,11600,public,2432,moderately difficult,0.9,1465,sault sainte marie,MI,Midwestern,NA
