University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
st. francis college,26188,26188,private,2598,NA,NA,NA,brooklyn heights,NY,Northeastern,NA,NA,NA,NA,NA,NA
shippensburg university of pennsylvania,12086,19944,public,5912,NA,0.88,5799,shippensburg,PA,Northeastern,NA,NA,NA,NA,NA,NA
parsons the new school for design,47720,47720,private,4301,NA,NA,NA,new york,NY,Northeastern,NA,NA,NA,NA,NA,NA
rhode island school of design,48470,48470,private,2000,NA,NA,NA,providence,RI,Northeastern,NA,NA,NA,NA,NA,NA
maine college of art,34000,34000,private,369,NA,NA,NA,portland,ME,Northeastern,NA,NA,NA,NA,NA,NA
university of maine farmington,9458,19026,public,1782,NA,NA,NA,farmington,ME,Northeastern,NA,NA,NA,NA,NA,NA
thomas college,26110,26110,private,1212,NA,NA,NA,waterville,ME,Northeastern,NA,NA,NA,NA,NA,NA
united states military academy,NA,NA,public,4389,NA,NA,NA,west point,NY,Northeastern,NA,NA,NA,NA,NA,NA
massachusetts college of pharmacy & health sciences,32590,32590,private,3843,NA,0.84,5531,boston,MA,Northeastern,NA,NA,NA,NA,NA,NA
wagner college,45380,45380,private,1807,NA,NA,NA,staten island,NY,Northeastern,NA,NA,NA,NA,NA,NA
clarion university of pennsylvania,10890,14636,public,4330,NA,NA,NA,clarion,PA,Northeastern,NA,NA,NA,NA,NA,NA
lim college,26350,26350,private for profit,1499,NA,NA,NA,new york,NY,Northeastern,NA,NA,NA,NA,NA,NA
heritage university,18084,18084,private,861,NA,NA,NA,toppenish,WA,Western,NA,NA,NA,NA,NA,NA
bayamon central university,5775,5775,private,1722,NA,0.45,517,bayam<f3>n,PR,NA,NA,NA,NA,NA,NA,NA
pacific oaks college,24240,24240,private,257,NA,0.77,339,pasadena,CA,California,NA,NA,NA,NA,NA,NA
beloit college,48706,48706,private,1394,NA,NA,NA,beloit,WI,Midwestern,NA,NA,NA,NA,NA,NA
rockford university,30050,30050,private,1086,NA,NA,NA,rockford,IL,Midwestern,NA,NA,NA,NA,NA,NA
college of staten island,7089,17959,public,12806,NA,NA,NA,staten island,NY,Northeastern,NA,NA,NA,NA,NA,NA
lesley university,27470,27470,private,1929,NA,0.64,3386,cambridge,MA,Northeastern,NA,NA,NA,NA,NA,NA
emmanuel college,38844,38844,private,2012,NA,0.71,6223,boston,MA,Northeastern,NA,NA,NA,NA,NA,NA
alice lloyd college,11550,11550,private,599,NA,NA,NA,pippa passes,KY,Southern,NA,NA,NA,NA,NA,NA
university of arkansas pine bluff,7212,13464,public,2545,NA,0.46,4452,pine bluff,AR,Southern,NA,NA,NA,NA,NA,NA
armstrong state university,6430,19506,public,6397,NA,NA,NA,savannah,GA,Southern,NA,NA,NA,NA,NA,NA
