University,CostIState,CostOState,CollegeType,Undergraduates,EntranceDifficulty,AdmitRate,Applicants,City,State,Region,Starting Median Salary
montana state university billings,5833,18598,public,3972,minimally difficult,1,1478,billings,MT,Western,37900
virginia wesleyan college,36660,36660,private,1374,moderately difficult,0.9,1654,norfolk,VA,Southern,34600
tusculum college,23700,23700,private,1585,moderately difficult,0.74,2238,greeneville,TN,Southern,36900
southern utah university,6676,20288,public,8407,moderately difficult,0.72,10573,cedar city,UT,Western,41900
saint leo university,22280,22280,private,2264,moderately difficult,0.7,4501,saint leo,FL,Southern,40900
pittsburg state university,7100,18152,public,5905,minimally difficult,0.87,2503,pittsburg,KS,Midwestern,40400
indiana wesleyan university,25980,25980,private,2933,moderately difficult,0.96,2444,marion,IN,Midwestern,39800
austin peay state university,8225,24221,public,9513,moderately difficult,0.89,6255,clarksville,TN,Southern,37700
dallas baptist university,27480,27480,private,3223,moderately difficult,0.43,3259,dallas,TX,Southern,39400
mississippi college,17392,17392,private,3004,moderately difficult,0.82,1958,clinton,MS,Southern,35400
morehead state university,8956,13426,public,14400,minimally difficult,0.83,15996,morehead,KY,Southern,34800
university of wisconsin green bay,7878,15728,public,6758,moderately difficult,0.92,2126,green bay,WI,Midwestern,35800
tarleton state university,8903,20886,public,11463,moderately difficult,0.74,6433,stephenville,TX,Southern,40800
mercy college,18713,18713,private,7157,moderately difficult,0.78,6617,dobbs ferry,NY,Northeastern,43700
kent state university,10012,18544,public,23684,moderately difficult,0.85,16145,kent,OH,Midwestern,38700
arkansas state university,8478,14778,public,9592,moderately difficult,0.7,5346,state university,AR,Southern,38700
university of southern maine,8840,21650,public,6189,moderately difficult,0.8,4111,portland,ME,Northeastern,39400
evergreen state college,7591,25051,public,3787,moderately difficult,0.97,1901,olympia,WA,Western,39500
university of wisconsin stevens point,8031,16498,public,8296,moderately difficult,0.77,4005,stevens point,WI,Midwestern,39800
university of north carolina wilmington,7048,21064,public,13914,moderately difficult,0.72,10436,wilmington,NC,Southern,37500
university of wisconsin eau claire,8816,16736,public,9981,moderately difficult,0.89,5706,eau claire,WI,Midwestern,41400
university of missouri kansas city,9763,24490,public,11708,moderately difficult,0.62,5138,kansas city,MO,Midwestern,38900
state university of new york fredonia,8286,17936,public,4386,moderately difficult,0.62,5381,fredonia,NY,Northeastern,37800
jacksonville university,35260,35260,private,2889,moderately difficult,0.49,5506,jacksonville,FL,Southern,46700
university of wisconsin oshkosh,7587,15160,public,13194,moderately difficult,0.68,5846,oshkosh,WI,Midwestern,39300
western carolina university,7191,17584,public,9171,moderately difficult,0.41,18297,cullowhee,NC,Southern,36900
utah valley university,5652,16066,public,34706,noncompetitive,1,10339,orem,UT,Western,42400
university of missouri st. louis,10275,27327,public,13923,moderately difficult,0.71,1947,st louis,MO,Midwestern,41400
thomas aquinas college,24500,24500,private,389,very difficult,0.74,193,santa paula,CA,California,41500
east carolina university,6972,23249,public,22969,moderately difficult,0.7,17135,greenville,NC,Southern,40200
robert morris university,29420,29420,private,4384,minimally difficult,0.8,7164,moon township,PA,Northeastern,38500
robert morris university,29420,29420,private,2352,minimally difficult,0.23,2732,chicago,IL,Midwestern,38500
robert morris university,27180,27180,private,4384,minimally difficult,0.8,7164,moon township,PA,Northeastern,38500
robert morris university,27180,27180,private,2352,minimally difficult,0.23,2732,chicago,IL,Midwestern,38500
university of wisconsin stout,9456,17423,public,8398,moderately difficult,0.88,3445,menomonie,WI,Midwestern,43600
appalachian state university,7303,22110,public,16595,moderately difficult,0.68,13202,boone,NC,Southern,40400
university of wisconsin la crosse,8922,17591,public,9699,moderately difficult,0.82,5801,la crosse,WI,Midwestern,42200
boise state university,7326,22642,public,20209,moderately difficult,0.82,8330,boise,ID,Western,40800
missouri state university,7306,14746,public,20316,moderately difficult,0.84,9038,springfield,MO,Midwestern,36100
niagara university,31950,31950,private,3136,moderately difficult,0.83,3359,niagara university,NY,Northeastern,36900
university of memphis,9700,21413,public,16639,moderately difficult,0.92,7556,memphis,TN,Southern,41400
fort lewis college,8609,18761,public,3556,moderately difficult,0.92,4164,durango,CO,Western,42000
university of alabama birmingham,10410,23790,public,12369,moderately difficult,0.89,5838,birmingham,AL,Southern,39200
state university of new york potsdam,8220,17870,public,3416,moderately difficult,0.72,5454,potsdam,NY,Northeastern,38000
university of akron,10270,18801,public,17416,moderately difficult,0.96,13911,akron,OH,Midwestern,41100
university of texas san antonio,9380,23379,public,24724,moderately difficult,0.76,15500,san antonio,TX,Southern,42500
portland state university,9030,26130,public,21633,moderately difficult,0.89,6373,portland,OR,Western,42600
florida atlantic university,6039,21595,public,25400,moderately difficult,0.6,15907,boca raton,FL,Southern,42600
university of south florida,6410,17324,public,31461,moderately difficult,0.47,28623,tampa,FL,Southern,41100
humboldt state university,7494,19374,public,7968,moderately difficult,0.76,12967,arcata,CA,California,42600
st. cloud state university,8113,16346,public,13236,moderately difficult,0.85,6986,st cloud,MN,Midwestern,41800
california state university stanislaus,7038,18918,public,8099,moderately difficult,0.74,7618,turlock,CA,California,38000
university of wisconsin parkside,7529,15518,public,4276,moderately difficult,0.82,1629,kenosha,WI,Midwestern,40700
university of nevada las vegas,7430,21618,public,24714,moderately difficult,0.83,8533,las vegas,NV,Western,45200
