"University","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"bryn athyn college","private",295,"minimally difficult",0.42,439,"bryn athyn","PA"
"adelphi university","private",5205,"moderately difficult",0.7,11863,"garden city","NY"
"albany college of pharmacy & health sciences","private",1078,"moderately difficult",0.67,1583,"albany","NY"
"albertus magnus college","private",1220,"moderately difficult",0.67,780,"new haven","CT"
"albright college","private",2304,"moderately difficult",0.51,8832,"reading","PA"
"alfred university","private",1815,"moderately difficult",0.63,3897,"alfred","NY"
"allegheny college","private",1920,"very difficult",0.68,4724,"meadville","PA"
"desales university","private",2388,"moderately difficult",0.76,2861,"center valley","PA"
"alvernia university","private",2323,"moderately difficult",0.74,1788,"reading","PA"
"american international college","private",1424,"minimally difficult",0.69,1906,"springfield","MA"
"sacred heart university","private",5428,"moderately difficult",0.57,10017,"fairfield","CT"
"st. joseph's college long island campus","private",3075,"moderately difficult",0.72,1770,"patchogue","NY"
"amherst college","private",1849,"most difficult",0.14,8406,"amherst","MA"
"saint anselm college","private",1930,"moderately difficult",0.76,3826,"manchester","NH"
"st. bonaventure university","private",1660,"moderately difficult",0.66,2871,"st bonaventure","NY"
"anna maria college","private",1128,"minimally difficult",0.8,1785,"paxton","MA"
"college of st. elizabeth","private",763,"moderately difficult",0.66,1626,"morristown","NJ"
"assumption college","private",1989,"moderately difficult",0.78,4559,"worcester","MA"
"st. francis college","private",2598,"",NA,NA,"brooklyn heights","NY"
"saint francis university","private",1707,"moderately difficult",0.74,1932,"loretto","PA"
"college of the atlantic","private",338,"very difficult",0.65,485,"bar harbor","ME"
"st. john fisher college","private",2786,"moderately difficult",0.65,4551,"rochester","NY"
"st. john's university","private",16440,"moderately difficult",0.63,28590,"queens","NY"
"university of saint joseph","private",894,"moderately difficult",0.87,743,"west hartford","CT"
"st. joseph's college of maine","private",2384,"moderately difficult",0.88,1321,"standish","ME"
"babson college","private",2141,"very difficult",0.26,7516,"babson park","MA"
"st. joseph's college brooklyn campus","private",965,"moderately difficult",0.62,1903,"brooklyn","NY"
"saint joseph's university","private",5377,"moderately difficult",0.78,8914,"philadelphia","PA"
"baptist bible college & seminary","private",722,"minimally difficult",0.38,424,"south abington township","PA"
"st. lawrence university","private",2435,"moderately difficult",0.46,5876,"canton","NY"
"saint michael's college","private",1902,"moderately difficult",0.77,5013,"colchester","VT"
"ramapo college of new jersey","public",5762,"moderately difficult",0.53,7172,"mahwah","NJ"
"saint peter's university","private",2672,"moderately difficult",0.74,4611,"jersey city","NJ"
"college of st. rose","private",2602,"moderately difficult",0.84,6780,"albany","NY"
"st. thomas aquinas college","private",1721,"moderately difficult",0.79,1953,"sparkill","NY"
"saint vincent college","private",1646,"moderately difficult",0.66,2256,"latrobe","PA"
"regis college","private",1235,"moderately difficult",0.84,2023,"weston","MA"
"salem state university","public",7664,"minimally difficult",0.72,5216,"salem","MA"
"salve regina university","private",2124,"moderately difficult",0.68,5158,"newport","RI"
"sarah lawrence college","private",1438,"very difficult",0.5,3183,"bronxville","NY"
"university of scranton","private",3867,"moderately difficult",0.75,10114,"scranton","PA"
"seton hall university","private",5839,"moderately difficult",0.79,10730,"south orange","NJ"
"rensselaer polytechnic institute","private",6265,"very difficult",0.44,18524,"troy","NY"
"pace university","private",6284,"moderately difficult",0.87,14545,"new york","NY"
"seton hill university","private",1606,"moderately difficult",0.73,2206,"greensburg","PA"
"bard college simon's rock","private",329,"moderately difficult",0.89,199,"great barrington","MA"
"shippensburg university of pennsylvania","public",5912,"",0.88,5799,"shippensburg","PA"
"rhode island college","public",7398,"moderately difficult",0.75,5148,"providence","RI"
"siena college","private",3186,"moderately difficult",0.73,8037,"loudonville","NY"
"simmons college","private",1802,"moderately difficult",0.64,3362,"boston","MA"
"skidmore college","private",2680,"very difficult",0.29,9181,"saratoga springs","NY"
"parsons the new school for design","private",4301,"",NA,NA,"new york","NY"
"pennsylvania state university","public",41359,"very difficult",0.56,52974,"university park","PA"
"slippery rock university of pennsylvania","public",7664,"moderately difficult",0.69,5889,"slippery rock","PA"
"smith college","private",2514,"very difficult",0.37,5254,"northampton","MA"
"penn state erie the behrend college","public",4420,"very difficult",0.88,3853,"erie","PA"
"university of massachusetts dartmouth","public",6999,"moderately difficult",0.76,8211,"north dartmouth","MA"
"southern connecticut state university","public",7963,"moderately difficult",0.64,8625,"new haven","CT"
"penn state harrisburg","public",4200,"very difficult",0.85,4153,"middletown","PA"
"university of southern maine","public",6189,"moderately difficult",0.8,4111,"portland","ME"
"university of pennsylvania","private",10019,"most difficult",0.09,38918,"philadelphia","PA"
