"University","CostIState","CostOState","CollegeType","Undergraduates","EntranceDifficulty","AdmitRate","Applicants","City","State"
"bryn athyn college",21071,21071,"private",295,"minimally difficult",0.42,439,"bryn athyn","PA"
"adelphi university",37170,37170,"private",5205,"moderately difficult",0.7,11863,"garden city","NY"
"albany college of pharmacy & health sciences",33621,33621,"private",1078,"moderately difficult",0.67,1583,"albany","NY"
"albertus magnus college",31630,31630,"private",1220,"moderately difficult",0.67,780,"new haven","CT"
"albright college",43454,43454,"private",2304,"moderately difficult",0.51,8832,"reading","PA"
"alfred university",32264,32264,"private",1815,"moderately difficult",0.63,3897,"alfred","NY"
"allegheny college",45970,45970,"private",1920,"very difficult",0.68,4724,"meadville","PA"
"desales university",35900,35900,"private",2388,"moderately difficult",0.76,2861,"center valley","PA"
"alvernia university",33640,33640,"private",2323,"moderately difficult",0.74,1788,"reading","PA"
"american international college",34470,34470,"private",1424,"minimally difficult",0.69,1906,"springfield","MA"
"sacred heart university",39820,39820,"private",5428,"moderately difficult",0.57,10017,"fairfield","CT"
"st. joseph's college long island campus",26554,26554,"private",3075,"moderately difficult",0.72,1770,"patchogue","NY"
"amherst college",54310,54310,"private",1849,"most difficult",0.14,8406,"amherst","MA"
"saint anselm college",39990,39990,"private",1930,"moderately difficult",0.76,3826,"manchester","NH"
"st. bonaventure university",33331,33331,"private",1660,"moderately difficult",0.66,2871,"st bonaventure","NY"
"anna maria college",37130,37130,"private",1128,"minimally difficult",0.8,1785,"paxton","MA"
"college of st. elizabeth",32993,32993,"private",763,"moderately difficult",0.66,1626,"morristown","NJ"
"assumption college",39598,39598,"private",1989,"moderately difficult",0.78,4559,"worcester","MA"
"st. francis college",26188,26188,"private",2598,"",NA,NA,"brooklyn heights","NY"
"saint francis university",34956,34956,"private",1707,"moderately difficult",0.74,1932,"loretto","PA"
"college of the atlantic",43542,43542,"private",338,"very difficult",0.65,485,"bar harbor","ME"
"st. john fisher college",33120,33120,"private",2786,"moderately difficult",0.65,4551,"rochester","NY"
"st. john's university",40520,40520,"private",16440,"moderately difficult",0.63,28590,"queens","NY"
"university of saint joseph",38033,38033,"private",894,"moderately difficult",0.87,743,"west hartford","CT"
"st. joseph's college of maine",34610,34610,"private",2384,"moderately difficult",0.88,1321,"standish","ME"
"babson college",49664,49664,"private",2141,"very difficult",0.26,7516,"babson park","MA"
"st. joseph's college brooklyn campus",26544,26544,"private",965,"moderately difficult",0.62,1903,"brooklyn","NY"
"saint joseph's university",43880,43880,"private",5377,"moderately difficult",0.78,8914,"philadelphia","PA"
"baptist bible college & seminary",23170,23170,"private",722,"minimally difficult",0.38,424,"south abington township","PA"
"st. lawrence university",52990,52990,"private",2435,"moderately difficult",0.46,5876,"canton","NY"
"saint michael's college",43640,43640,"private",1902,"moderately difficult",0.77,5013,"colchester","VT"
"ramapo college of new jersey",14080,23214,"public",5762,"moderately difficult",0.53,7172,"mahwah","NJ"
"saint peter's university",36402,36402,"private",2672,"moderately difficult",0.74,4611,"jersey city","NJ"
"college of st. rose",31612,31612,"private",2602,"moderately difficult",0.84,6780,"albany","NY"
"st. thomas aquinas college",30750,30750,"private",1721,"moderately difficult",0.79,1953,"sparkill","NY"
"saint vincent college",34830,34830,"private",1646,"moderately difficult",0.66,2256,"latrobe","PA"
"regis college",39653,39653,"private",1235,"moderately difficult",0.84,2023,"weston","MA"
"salem state university",9831,15971,"public",7664,"minimally difficult",0.72,5216,"salem","MA"
"salve regina university",38986,38986,"private",2124,"moderately difficult",0.68,5158,"newport","RI"
"sarah lawrence college",54010,54010,"private",1438,"very difficult",0.5,3183,"bronxville","NY"
"university of scranton",43310,43310,"private",3867,"moderately difficult",0.75,10114,"scranton","PA"
"seton hall university",40888,40888,"private",5839,"moderately difficult",0.79,10730,"south orange","NJ"
"rensselaer polytechnic institute",52305,52305,"private",6265,"very difficult",0.44,18524,"troy","NY"
"pace university",43986,43986,"private",6284,"moderately difficult",0.87,14545,"new york","NY"
"seton hill university",35010,35010,"private",1606,"moderately difficult",0.73,2206,"greensburg","PA"
"bard college simon's rock",53668,53668,"private",329,"moderately difficult",0.89,199,"great barrington","MA"
"shippensburg university of pennsylvania",12086,19944,"public",5912,"",0.88,5799,"shippensburg","PA"
"rhode island college",8776,21289,"public",7398,"moderately difficult",0.75,5148,"providence","RI"
"siena college",36335,36335,"private",3186,"moderately difficult",0.73,8037,"loudonville","NY"
"simmons college",39055,39055,"private",1802,"moderately difficult",0.64,3362,"boston","MA"
"skidmore college",52596,52596,"private",2680,"very difficult",0.29,9181,"saratoga springs","NY"
"parsons the new school for design",47720,47720,"private",4301,"",NA,NA,"new york","NY"
"pennsylvania state university",18436,33664,"public",41359,"very difficult",0.56,52974,"university park","PA"
"slippery rock university of pennsylvania",10205,13951,"public",7664,"moderately difficult",0.69,5889,"slippery rock","PA"
"smith college",50044,50044,"private",2514,"very difficult",0.37,5254,"northampton","MA"
"penn state erie the behrend college",15190,23692,"public",4420,"very difficult",0.88,3853,"erie","PA"
"university of massachusetts dartmouth",13571,28285,"public",6999,"moderately difficult",0.76,8211,"north dartmouth","MA"
"southern connecticut state university",10537,21995,"public",7963,"moderately difficult",0.64,8625,"new haven","CT"
"penn state harrisburg",15190,23692,"public",4200,"very difficult",0.85,4153,"middletown","PA"
"university of southern maine",8840,21650,"public",6189,"moderately difficult",0.8,4111,"portland","ME"
"university of pennsylvania",53534,53534,"private",10019,"most difficult",0.09,38918,"philadelphia","PA"
"southern vermont college",25675,25675,"private",475,"noncompetitive",0.63,499,"bennington","VT"
"springfield college",36535,36535,"private",2160,"moderately difficult",0.64,4112,"springfield","MA"
"rhode island school of design",48470,48470,"private",2000,"",NA,NA,"providence","RI"
"stevens institute of technology",50554,50554,"private",3115,"very difficult",0.39,7409,"hoboken","NJ"
"university of rhode island",13792,30042,"public",14801,"moderately difficult",0.71,21797,"kingston","RI"
"stockton university",13404,20357,"public",7854,"very difficult",0.77,4826,"galloway","NJ"
"university of the arts",43000,43000,"private",1723,"moderately difficult",0.77,1616,"philadelphia","PA"
"stonehill college",41300,41300,"private",2481,"very difficult",0.73,6362,"easton","MA"
"cairn university",26493,26493,"private",744,"moderately difficult",0.98,338,"langhorne","PA"
"university of the sciences",39994,39994,"private",2246,"moderately difficult",0.58,3738,"philadelphia","PA"
"suffolk university",37510,37510,"private",5290,"moderately difficult",0.84,8624,"boston","MA"
"philadelphia university",39130,39130,"private",2906,"moderately difficult",0.64,4129,"philadelphia","PA"
"university albany",9550,24430,"public",12908,"very difficult",0.56,22337,"albany","NY"
"pine manor college",31160,31160,"private",447,"moderately difficult",0.69,784,"chestnut hill","MA"
"rider university",41310,41310,"private",4128,"moderately difficult",0.69,9851,"lawrenceville","NJ"
"binghamton university",9523,24403,"public",13632,"very difficult",0.41,32139,"binghamton","NY"
"university buffalo",9828,27338,"public",20411,"moderately difficult",0.59,26001,"buffalo","NY"
"university of pittsburgh",19080,30642,"public",19123,"very difficult",0.55,29175,"pittsburgh","PA"
"stony brook university",9257,26767,"public",17026,"very difficult",0.41,34999,"stony brook","NY"
"college brockport",7948,17798,"public",7128,"moderately difficult",0.55,9211,"brockport","NY"
"rivier university",30740,30740,"private",1526,"moderately difficult",0.1,1688,"nashua","NH"
"university of pittsburgh bradford",13900,25144,"public",1476,"minimally difficult",0.53,2955,"bradford","PA"
"buffalo state college",7976,17626,"public",8482,"moderately difficult",0.64,13726,"buffalo","NY"
"university of pittsburgh johnstown",13876,25120,"public",2769,"moderately difficult",0.88,1613,"johnstown","PA"
"state university of new york cortland",8300,17950,"public",6304,"moderately difficult",0.52,10875,"cortland","NY"
"robert morris university",29420,29420,"private",4384,"minimally difficult",0.8,7164,"moon township","PA"
"robert morris university",29420,29420,"private",2352,"minimally difficult",0.23,2732,"chicago","IL"
