"University","IndexVal","SchoolID","Reason"
"Thomas Jefferson University","138","145","Not Applicable"
"United States Coast Guard Academy","151","159","Not Applicable"
"United States Merchant Marine Academy","154","164","Not Applicable"
"United States Military Academy","155","165","Not Applicable"
"University of Phoenix","264","289","Not Applicable"
"Schiller International University","486","525","Not Applicable"
"South University - Savannah","489","528","Not Applicable"
"University of the Potomac","495","541","Not Applicable"
"Platt College","496","542","Not Applicable"
"Art Institute of California - San Diego","497","543","Not Applicable"
"Art Institute of California - San Francisco","500","548","Not Applicable"
"Illinois Institute of Art - Chicago","506","560","Not Applicable"
"Illinois Institute of Art - Schaumburg","522","583","Not Applicable"
"Everest University - Tampa","525","588","Not Applicable"
"Art Institute of California - Orange County","536","604","Not Applicable"
"Stevens-Henager College, Ogden","539","610","Not Applicable"
"Colorado Technical University","589","670","Not Applicable"
"United States Air Force Academy","618","700","Not Applicable"
"MacMurray College","906","993","Not Applicable"
"University of Puerto Rico at Cayey","1081","1173","Not Applicable"
"University of Puerto Rico at Mayaguez","1087","1180","Not Applicable"
"Curtis Institute of Music","1100","1197","Not Applicable"
"University of Nebraska Medical Center","1135","1243","Not Applicable"
"City University of Seattle","1150","1260","Not Applicable"
"State University of New York College of Agriculture and Technology at Cobleskill","1186","1302","Not Applicable"
"Excelsior College","1200","1327","Not Applicable"
"Sullivan University","1210","1337","Not Applicable"
"Central Christian College of the Bible","1230","1365","Not Applicable"
"The Art Institute of Atlanta","1268","1420","Not Applicable"
"Interior Designers Institute","1283","1439","Not Applicable"
"United States Naval Academy","1399","1560","Not Applicable"
